rep,sensitivity,specificity,uhr,bias_loghr,n_cancer,n_other,uhr_draw_method,status,failure_reason
123,0.8488899644453854,0.8756067597079824,0.3953997632142589,-0.05041282859204596,99743,79698,accept-reject truncated Normal,ok,
124,0.8745711952208522,0.8773147149296102,0.5374996837268621,-0.029396835729973425,101001,80714,accept-reject truncated Normal,ok,
125,0.794571298481265,0.9611944180811751,0.47223091118664445,-0.04465807533525529,100758,80090,accept-reject truncated Normal,ok,
126,0.859242101262153,0.9108794299884437,0.5157141155327164,-0.036093204982557414,100718,80560,accept-reject truncated Normal,ok,
127,0.7876447021264075,0.8929937622782981,0.5193625645810352,-0.022755136521475317,100671,80775,accept-reject truncated Normal,ok,
128,0.8552429020123563,0.8308165851354945,0.48674761273783884,-0.03555398914397617,100240,80705,accept-reject truncated Normal,ok,
129,0.8310394832709929,0.8517912122370133,0.406544309512099,-0.034404911484742035,99973,79708,accept-reject truncated Normal,ok,
130,0.8978601853404903,0.8873903486786809,0.4936856181400125,-0.04469058939426104,101282,79710,accept-reject truncated Normal,ok,
131,0.847561537247703,0.8790222408699269,0.2447914515875489,-0.08035829143084494,97735,77252,accept-reject truncated Normal,ok,
132,0.8331727506487442,0.8880379701283739,0.49147557384012097,-0.034402569839483976,101078,79712,accept-reject truncated Normal,ok,
133,0.8963568371152769,0.8899535913246879,0.4727536159716028,-0.05822654558995524,100604,79994,accept-reject truncated Normal,ok,
134,0.9356574501766014,0.9371894612691957,0.4332994668558729,-0.09204315341473882,100128,79989,accept-reject truncated Normal,ok,
135,0.8662497977263838,0.9374421957933565,0.2707528373379682,-0.09504661526439265,97874,78117,accept-reject truncated Normal,ok,
136,0.8522661165028623,0.8842360778642248,0.5357299472132524,-0.03230511330274313,100792,80755,accept-reject truncated Normal,ok,
137,0.9187743868792878,0.8883818644861724,0.33612776234702313,-0.09073703986050022,99243,78914,accept-reject truncated Normal,ok,
138,0.8341675091987216,0.8829985986656339,0.4653490477680091,-0.03185161800821687,100619,80177,accept-reject truncated Normal,ok,
139,0.8757981100585461,0.889309651852223,0.21931236208749713,-0.11167296379459005,97049,76874,accept-reject truncated Normal,ok,
140,0.7109095537241807,0.8846085429239718,0.3852722841105692,-0.011197874388605783,100043,79353,accept-reject truncated Normal,ok,
141,0.6710171524764745,0.953077951734062,0.33870338605349115,-0.051042530556483445,99195,78892,accept-reject truncated Normal,ok,
142,0.8829010523818474,0.834455580228424,0.32564970989646774,-0.0576280500142472,99075,78730,accept-reject truncated Normal,ok,
143,0.900825003403879,0.884862917723458,0.33685153100307186,-0.09661824937155664,99234,78898,accept-reject truncated Normal,ok,
144,0.86463175214337,0.9074946665534193,0.5795861730809001,-0.036637979360798684,101043,81053,accept-reject truncated Normal,ok,
145,0.8671511457293389,0.9504364691787803,0.39950474819308224,-0.08418813230888156,100222,79573,accept-reject truncated Normal,ok,
146,0.8333454603950443,0.8346533919014173,0.4367447376772821,-0.010679243321377985,100261,79939,accept-reject truncated Normal,ok,
147,0.9061785219862759,0.9159181206332384,0.6151447797057886,-0.019884310363245783,101717,80817,accept-reject truncated Normal,ok,
148,0.8530870542866033,0.9249949737757708,0.2605214897546193,-0.10190104310564771,97858,77915,accept-reject truncated Normal,ok,
149,0.8256488710992276,0.8967702858597554,0.554932998096352,-0.02039105865126098,101337,80526,accept-reject truncated Normal,ok,
150,0.7694714190650667,0.8911895607266431,0.3660050923962812,-0.04467033805447673,99673,79232,accept-reject truncated Normal,ok,
151,0.7891548626417874,0.9183761494694307,0.3403381075266488,-0.046505665678726105,99521,78772,accept-reject truncated Normal,ok,
152,0.8702576042907771,0.914167975904361,0.3619939909389316,-0.07430127890768937,99506,79231,accept-reject truncated Normal,ok,
153,0.8901695610812199,0.9268046409784556,0.22277841466113205,-0.12993575549586958,96875,76946,accept-reject truncated Normal,ok,
154,0.836658019388476,0.9152579160966479,0.25028654118272153,-0.09682247039191308,97359,77904,accept-reject truncated Normal,ok,
155,0.7838936280892429,0.8991820587387678,0.28992718845426757,-0.06365200465290302,98317,78359,accept-reject truncated Normal,ok,
156,0.8782073150573755,0.9376467099149115,0.3468412426212337,-0.09785739665430424,99512,79041,accept-reject truncated Normal,ok,
157,0.8530933679996402,0.8412072987282216,0.47365210485526177,-0.029256350144851145,100471,80359,accept-reject truncated Normal,ok,
158,0.9444965511643209,0.9379750467827279,0.5105666549390508,-0.0707100685915254,100928,80435,accept-reject truncated Normal,ok,
159,0.8733635340730413,0.8825547146978665,0.3659355371859587,-0.07661924232987363,99617,79326,accept-reject truncated Normal,ok,
160,0.7876695269744448,0.8333403854356239,0.43950282451984474,-0.013979227407036443,100602,79830,accept-reject truncated Normal,ok,
161,0.8755053280645618,0.9143065354341929,0.44580692859979915,-0.0684591386543113,100381,79884,accept-reject truncated Normal,ok,
162,0.9208446284837353,0.8804401231882434,0.3797251537325011,-0.07236433591355579,100029,79174,accept-reject truncated Normal,ok,
163,0.8243489573587026,0.926594310233992,0.4251327426132345,-0.05159328740101346,100153,79966,accept-reject truncated Normal,ok,
164,0.8606672288716115,0.901659087552638,0.3437847887173101,-0.0793608882595844,99392,78823,accept-reject truncated Normal,ok,
165,0.8365816783591827,0.9465887309058543,0.45761902882925587,-0.06316605987997381,100724,79767,accept-reject truncated Normal,ok,
166,0.7371892800764077,0.9066731570979695,0.38001442275004205,-0.04054254059478263,99833,79152,accept-reject truncated Normal,ok,
167,0.8707228016449837,0.9073137735682615,0.4062474577536752,-0.05867767792062156,99944,79538,accept-reject truncated Normal,ok,
168,0.8611923308017134,0.9379000409828463,0.4276689346652134,-0.0688129115617438,100115,79740,accept-reject truncated Normal,ok,
169,0.8099923931454162,0.9132239949631245,0.4168006509441612,-0.05783220153201832,99839,79988,accept-reject truncated Normal,ok,
170,0.7826085905015856,0.892091252622189,0.331053728077019,-0.04921787666807273,99500,78499,accept-reject truncated Normal,ok,
171,0.9150523870239148,0.8591893329490919,0.26815573438200857,-0.09507626778732223,97943,77957,accept-reject truncated Normal,ok,
172,0.8798269544985762,0.9345823574265827,0.39551369362529637,-0.07389729834945499,99527,79950,accept-reject truncated Normal,ok,
173,0.7982624436729604,0.9626386736101242,0.3458213591865097,-0.08209723152207796,99701,78735,accept-reject truncated Normal,ok,
174,0.8082745777765256,0.9041813007012494,0.34936627564687367,-0.06004980001593241,99400,78847,accept-reject truncated Normal,ok,
175,0.8843487260992164,0.9295806418408672,0.39168591454130536,-0.08172427677483829,100064,79306,accept-reject truncated Normal,ok,
176,0.8256676902087893,0.8940918845100485,0.3314258793663625,-0.06154483872275435,99123,78945,accept-reject truncated Normal,ok,
177,0.7814877867441921,0.8937960894118355,0.44663586789045123,-0.029618318565795082,100763,79542,accept-reject truncated Normal,ok,
178,0.6112493089393032,0.8571151985463746,0.441756523746779,0.029098935298366713,100324,79725,accept-reject truncated Normal,ok,
179,0.8643274482097512,0.9180679381318698,0.31253881120038407,-0.08786004420422469,98932,78658,accept-reject truncated Normal,ok,
180,0.8631757989946379,0.8173926165575381,0.4386919058820392,-0.027855931148867336,99903,80517,accept-reject truncated Normal,ok,
181,0.8494681182314593,0.9571488888460233,0.306472331575362,-0.09803263802222942,98829,78662,accept-reject truncated Normal,ok,
182,0.8960969945244561,0.8255648080900002,0.4737617658430543,-0.024634405078848787,100708,80060,accept-reject truncated Normal,ok,
183,0.858917273445711,0.9086126141076675,0.46347456771296214,-0.04959063452358531,100672,79846,accept-reject truncated Normal,ok,
184,0.7993193711018688,0.8964004435746745,0.40069888991526426,-0.04407423750123929,99929,79661,accept-reject truncated Normal,ok,
185,0.9194354854287176,0.8809299896727107,0.49037692335446115,-0.056005259342677804,100755,80345,accept-reject truncated Normal,ok,
186,0.9223849745800432,0.8886421905106998,0.5035387661248193,-0.05377232478241345,101102,80379,accept-reject truncated Normal,ok,
187,0.7971061939403201,0.9130581721313207,0.445892123815797,-0.03307476688329791,100668,79768,accept-reject truncated Normal,ok,
188,0.8218633845928862,0.8430221336354141,0.21922392810254898,-0.0684020120702584,96865,76953,accept-reject truncated Normal,ok,
189,0.8984888360402862,0.8837187328887731,0.41476328144571273,-0.06349224353588642,100275,79704,accept-reject truncated Normal,ok,
190,0.8555282055956475,0.9060877224967278,0.4215502509052223,-0.06610211251184867,100666,79341,accept-reject truncated Normal,ok,
191,0.8054479726153235,0.8923391939511427,0.481736269183531,-0.03186494652881183,100830,80276,accept-reject truncated Normal,ok,
192,0.8599678716557364,0.904439101949834,0.3035836674277789,-0.08165205832513778,99150,78152,accept-reject truncated Normal,ok,
193,0.8465618552576585,0.878708767922577,0.47153271480225034,-0.03263826639682274,100711,80091,accept-reject truncated Normal,ok,
194,0.8697272854255476,0.9017716159890355,0.4364824479708344,-0.06245621102868454,100601,79730,accept-reject truncated Normal,ok,
195,0.83213289854529,0.9404854082377564,0.4418220630088782,-0.07044203388868844,100409,79833,accept-reject truncated Normal,ok,
196,0.8214843275452363,0.8378163233496433,0.27800688041754534,-0.05559205245630924,97815,78398,accept-reject truncated Normal,ok,
197,0.8817746991038254,0.8889950431556634,0.31527976748698083,-0.08156882686057149,98687,78876,accept-reject truncated Normal,ok,
198,0.9289850231348435,0.8927359462084749,0.5138649781324933,-0.05949952699137889,100876,80546,accept-reject truncated Normal,ok,
199,0.8866451937440554,0.900418068833494,0.483531764823116,-0.037397069657539056,100409,80456,accept-reject truncated Normal,ok,
