check,passed,observed,expected,note
primary_018_avg_robust_SE,True,0.012595486813208644,0.0125954868132086,
primary_018_avg_model_SE,True,0.017807555804149534,0.0178075558041495,
primary_018_rmse_c,True,0.091745164466666,0.091745164466666,
primary_018_coverage_c,True,0.0,0.0,
primary_018_coverage_naive,True,0.0,0.0,
primary_018_median_interval_width_log,True,0.04937515788073392,0.049375157880734,
primary_018_directional_signal_rate,True,1.0,1.0,
primary_018_median_cross_ratio,True,1.0002216268005895,1.0002216268005897,
primary_018_max_abs_score_residual_sum,True,3.339629017773404e-09,3.339629017773404e-09,
primary_019_successful,True,5000,5000,
primary_019_failed,True,0,0,
primary_019_median_HR_c,True,0.8086135659715863,0.8086135659715863,
primary_019_median_HR_naive,True,0.809623186732688,0.809623186732688,
primary_019_median_HR_o,True,0.9196557355034811,0.9196557355034812,
primary_019_bias_logHR_c,True,-0.04995763706170415,-0.0499576370617041,
primary_019_median_HR_percent_error_c,True,-4.868992238636905,-4.868992238636905,
primary_019_empirical_SE,True,0.04064140263053416,0.0406414026305341,
primary_019_avg_robust_SE,True,0.04075113682675808,0.040751136826758,
primary_019_avg_model_SE,True,0.05754948207004562,0.0575494820700456,
primary_019_rmse_c,True,0.06439843758853617,0.0643984375885361,
primary_019_coverage_c,True,0.7682,0.7682,
primary_019_coverage_naive,True,0.7692,0.7692,
primary_019_median_interval_width_log,True,0.15972003122874537,0.1597200312287453,
primary_019_directional_signal_rate,True,0.4576,0.4576,
primary_019_median_cross_ratio,True,0.8797256105143103,0.8797256105143103,
primary_019_max_abs_score_residual_sum,True,3.3586022851750386e-11,3.3586022851750386e-11,
primary_020_successful,True,5000,5000,
primary_020_failed,True,0,0,
primary_020_median_HR_c,True,0.8087277784657437,0.8087277784657437,
primary_020_median_HR_naive,True,0.8091595327176164,0.8091595327176164,
primary_020_median_HR_o,True,0.9186319711474883,0.9186319711474884,
primary_020_bias_logHR_c,True,-0.049613223324325384,-0.0496132233243254,
primary_020_median_HR_percent_error_c,True,-4.855555474618383,-4.855555474618383,
primary_020_empirical_SE,True,0.012996112220936676,0.0129961122209366,
primary_020_avg_robust_SE,True,0.01288170488855444,0.0128817048885544,
primary_020_avg_model_SE,True,0.018180822454358272,0.0181808224543583,
primary_020_rmse_c,True,0.05128681196664491,0.0512868119666449,
primary_020_coverage_c,True,0.0304,0.0304,
primary_020_coverage_naive,True,0.0294,0.0294,
primary_020_median_interval_width_log,True,0.05049520037418488,0.0504952003741851,
primary_020_directional_signal_rate,True,1.0,1.0,
primary_020_median_cross_ratio,True,0.8803671126251656,0.8803671126251656,
primary_020_max_abs_score_residual_sum,True,3.3791422993090237e-09,3.3791422993090237e-09,
primary_021_successful,True,5000,5000,
primary_021_failed,True,0,0,
primary_021_median_HR_c,True,0.873898633587542,0.873898633587542,
primary_021_median_HR_naive,True,0.8764595692821271,0.8764595692821271,
primary_021_median_HR_o,True,0.8735410177286635,0.8735410177286635,
primary_021_bias_logHR_c,True,-0.13496897922910417,-0.1349689792291041,
primary_021_median_HR_percent_error_c,True,-12.610136641245795,-12.610136641245797,
primary_021_empirical_SE,True,0.040109707610392974,0.0401097076103929,
primary_021_avg_robust_SE,True,0.04024373360882265,0.0402437336088226,
primary_021_avg_model_SE,True,0.05689642602830454,0.0568964260283045,
primary_021_rmse_c,True,0.14080160596033217,0.1408016059603321,
