scenario_id,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_robust_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings,max_abs_score_residual_sum,computational_time_s,cache_status
21,main_hi,,0.9,0.9,0.33,1.0,5000,-0.8,-0.5,5000,20260817,666658930,0.873898633587542,0.8764595692821271,0.8735410177286635,-0.13496897922910417,-12.610136641245795,0.040109707610392974,0.04024373360882265,0.05689642602830454,0.14080160596033217,0.0828,0.091,0.15774106520863584,0.825,0.9992401527409058,0.0005672369248543709,0.0038972852089627723,0.00537354631505117,5000,0,0.0,0,3.62003760301377e-11,0.0,reused complete strict rerun
22,main_hi,,0.9,0.9,0.33,1.0,50000,-0.8,-0.5,5000,20260817,2744545753,0.8740191850806425,0.8765965150535167,0.8737258248679884,-0.13470016328421733,-12.598081491935753,0.012820629843788029,0.01272124232839334,0.01797391787267546,0.1353087937448129,0.0,0.0,0.04986768375379767,1.0,1.0001873440468882,0.00018131108603250284,0.0,0.0,5000,0,0.0,0,3.3469973459432367e-09,411.24054884910583,newly computed
23,main_hi,,0.9,0.9,0.33,0.85,5000,-0.8,-0.5,5000,20260817,1390767563,0.7782142346916558,0.7797652562059878,0.8856194274155234,-0.08802365253138815,-8.445384153922838,0.04071690359993082,0.0411804513729635,0.05811455995096665,0.09698297825126254,0.4292,0.4336,0.16140882253072375,0.757,0.8791801613947855,0.0005758239728886006,0.006999819426242366,0.0060654925603779285,5000,0,0.0,0,3.290878680672904e-11,0.0,reused complete strict rerun
24,main_hi,,0.9,0.9,0.33,0.85,50000,-0.8,-0.5,5000,20260817,1851916202,0.7789046389065193,0.7801519912272095,0.8845173867392686,-0.08734936934263936,-8.364160128644787,0.012874122360220668,0.013017304235676567,0.018360301309801784,0.08829282078684227,0.0,0.0,0.05103012340970228,1.0,0.8807670365475653,0.00018206758445474787,0.0,0.0,5000,0,0.0,0,3.3264484500250546e-09,417.1547644138336,newly computed
25,main_hi,,0.75,0.85,1.0,1.0,5000,-0.8,-0.5,5000,20260817,2088437592,0.9990894670433459,0.9988964646600165,0.9994127978736032,-0.0006287589144117442,-0.09105329566541087,0.040159112625105645,0.039647067687831904,0.05611010150154143,0.04016001884639753,0.948,0.947,0.15539809596189208,0.0256,1.0000382716921026,0.0005679356172729299,0.00313993630508646,0.002233590830926739,5000,0,0.0,0,3.495426170729843e-11,22.397810459136963,newly computed
26,main_hi,,0.75,0.85,1.0,1.0,50000,-0.8,-0.5,5000,20260817,770843387,0.9997592237719997,0.999860668157937,0.999627429127937,-0.0001662423972549073,-0.024077622800033893,0.01255581306253719,0.012534119415198431,0.01772796342695253,0.012555658027665947,0.9468,0.9468,0.04913532471789337,0.028,1.0001457123672295,0.00017756601119661358,0.003173948959892078,0.0023330666514268295,5000,0,0.0,0,3.034333673213041e-09,322.8489933013916,newly computed
27,main_hi,,0.75,0.85,1.0,0.85,5000,-0.8,-0.5,5000,20260817,730609205,0.9069250900654211,0.9048599859925344,1.0002514382968442,0.06523970189457982,6.697069419461308,0.041111676438274104,0.04051059957652561,0.057213901426701144,0.07711063875284052,0.6436,0.6554,0.15876524711379375,0.024,0.9071804488295825,0.0005814069039090166,0.006773168239457809,0.002164439881354989,5000,0,0.0,0,3.1590730031894054e-11,18.80655574798584,newly computed
28,main_hi,,0.75,0.85,1.0,0.85,50000,-0.8,-0.5,5000,20260817,3314776866,0.9076564186000597,0.9058052126260778,1.0005377873950947,0.06576269624221454,6.783108070595266,0.012654335992882569,0.012807305694963739,0.018077140115915647,0.06696889136026263,0.0004,0.001,0.050201497558451366,0.0232,0.906984275053267,0.00017895933583960533,0.00028278613827413816,0.0021289321266775977,5000,0,0.0,0,3.0415776564041153e-09,351.7871537208557,newly computed
29,main_hi,,0.75,0.85,0.5,1.0,5000,-0.8,-0.5,5000,20260817,2284446999,0.9330911113567939,0.9339135651998421,0.9325269542371047,-0.0688425456554507,-6.69088886432061,0.039330445448754546,0.040065618940846065,0.05667291811064076,0.07928348286202133,0.597,0.601,0.1570458470155163,0.3172,1.0012408664663843,0.0005562164936780384,0.006936728335461898,0.0065815524004599404,5000,0,0.0,0,3.26458859944978e-11,18.06606888771057,newly computed
30,main_hi,,0.75,0.85,0.5,1.0,50000,-0.8,-0.5,5000,20260817,4164126655,0.9338193968333769,0.9346636304626887,0.9334038344743547,-0.06870579521264135,-6.61806031666231,0.012712940137569182,0.012664393660810609,0.01790394660558623,0.06987183136982629,0.0002,0.0002,0.04964471176500746,0.9968,1.0002164763481252,0.0001797881236018762,0.00019997999899989998,0.0007987189743583135,5000,0,0.0,0,3.049741792437999e-09,345.43901109695435,newly computed
31,main_hi,,0.75,0.85,0.5,0.85,5000,-0.8,-0.5,5000,20260817,3042424778,0.8512491600559449,0.8502401337852166,0.9373643222370565,0.0020633969094923234,0.1469600065817514,0.04095575116177265,0.04097846457331498,0.057842532196279106,0.041003605759987724,0.951,0.9494,0.1605851633197644,0.2906,0.907963567805373,0.0005792017875015653,0.0030528347482299146,0.0064210846435785295,5000,0,0.0,0,2.964384293591138e-11,19.227581024169922,newly computed
32,main_hi,,0.75,0.85,0.5,0.85,50000,-0.8,-0.5,5000,20260817,2356173794,0.8517994073565551,0.850669257267018,0.9376832107352038,0.0020426889046641188,0.21169498312413523,0.013145859201612372,0.012953538137309721,0.018273594308747147,0.01330231669247973,0.942,0.9418,0.05077743283178933,0.9934,0.9084749275760058,0.00018591052371967363,0.003305631558416638,0.0011451148414023853,5000,0,0.0,0,3.007464499660273e-09,384.12764024734497,newly computed
33,main_hi,,0.75,0.85,0.33,1.0,5000,-0.8,-0.5,5000,20260817,1778130748,0.9037247839417626,0.9049682179881505,0.9025466195838395,-0.10182853048188271,-9.627521605823741,0.0400100483057141,0.04044067275373728,0.05718638784176519,0.10940536287007237,0.2872,0.2932,0.15853863030417661,0.587,1.0010114308545313,0.0005658275294514355,0.006398689865902238,0.006963203285844813,5000,0,0.0,0,3.270628212703741e-11,22.87490677833557,newly computed
34,main_hi,,0.75,0.85,0.33,1.0,50000,-0.8,-0.5,5000,20260817,2069790541,0.903361215602515,0.9045853583079431,0.903230624596358,-0.10165426794049688,-9.663878439748498,0.012679721118738517,0.012783499237599878,0.01806596190966744,0.10244185357119319,0.0,0.0,0.05010906617444349,1.0,0.9998351270855061,0.00017931833573228565,0.0,0.0,5000,0,0.0,0,3.1108982057048706e-09,385.00547909736633,newly computed
35,main_hi,,0.75,0.85,0.33,0.85,5000,-0.8,-0.5,5000,20260817,3567053798,0.827939790527348,0.8275007959142444,0.9108988562759803,-0.02622953683034279,-2.595318761488467,0.04103563820883763,0.04139465936108855,0.05840583229105573,0.048698823608176435,0.9064,0.9052,0.16226394090150031,0.5286,0.909142815511979,0.0005803315609557375,0.004119199922315012,0.007059490633183105,5000,0,0.0,0,3.04840597209477e-11,37.32463812828064,newly computed
36,main_hi,,0.75,0.85,0.33,0.85,50000,-0.8,-0.5,5000,20260817,3333225663,0.8284209355876645,0.8279790116296757,0.9114507182193763,-0.025965862441645414,-2.5387134602747623,0.012998336678021472,0.013080770348701589,0.018446782602779918,0.029037027695381825,0.4974,0.4774,0.05127850302730498,1.0,0.9087039662342009,0.00018382424018349608,0.007070972210382389,0.0,5000,0,0.0,0,2.973735035993741e-09,406.15673184394836,newly computed
102,low_crc,low_crc,1.0,1.0,1.0,1.0,50000,4.2074,3.1726,2000,20260817,1410448036,0.9998391623893421,1.000067954621222,0.9990486604570872,-0.0007407873343805443,-0.016083761065788238,0.04858649935884707,0.047152996900733456,0.06668857999022354,0.048579999607472744,0.9445,0.942,0.18480712101247448,0.0265,1.001481993456415,0.00108642715355132,0.005119558086397692,0.0035915003828483716,2000,0,0.0,0,2.895919060108554e-10,116.2896785736084,newly computed
103,low_crc,low_crc,1.0,1.0,1.0,0.85,50000,4.2074,3.1726,2000,20260817,3444109857,0.850832611723311,0.8499720973974285,0.9999892656025964,0.0005782599279695,0.09795432038953657,0.04939724660400871,0.049372915668265537,0.06951561631743726,0.049388281126351394,0.9495,0.952,0.19347291456445545,0.028,0.8509027939168593,0.001104556013078841,0.0048964145045124596,0.0036889022757454555,2000,0,0.0,0,2.8392665996079813e-10,133.6680290699005,newly computed
104,low_crc,low_crc,1.0,1.0,0.5,1.0,50000,4.2074,3.1726,2000,20260817,3195999652,0.9056665940183102,0.9085648739110838,0.9017135514067944,-0.10109600662342169,-9.433340598168982,0.05050793581771197,0.05122214570981639,0.0722662105834226,0.11300521496806575,0.5085,0.5235,0.20074769588208952,0.9295,1.0035753879413394,0.001129391778916004,0.01117872421164419,0.005724061058374553,2000,0,0.0,0,2.660272002685815e-10,132.31064987182617,newly computed
105,low_crc,low_crc,1.0,1.0,0.5,0.85,50000,4.2074,3.1726,2000,20260817,2201598800,0.7660313387399604,0.7685230933746954,0.9013755838274407,-0.10229044895481926,-9.878666030592889,0.05420242076949872,0.05371231206673299,0.0754391383644352,0.11575737304139047,0.511,0.522,0.21053408757108888,0.9295,0.8519790888435625,0.001212002973856456,0.01117763391778421,0.005724061058374553,2000,0,0.0,0,2.4569857259848504e-10,120.57194423675537,newly computed
106,low_crc,low_crc,1.0,1.0,0.33,1.0,50000,4.2074,3.1726,2000,20260817,3924282224,0.8630440240551505,0.8670809834662613,0.8623700232124504,-0.14778119465077919,-13.695597594484955,0.052471109542077926,0.05301709181373086,0.07471684318710256,0.15681556753179812,0.196,0.2175,0.20781290161539911,0.998,1.0009382031602323,0.001173289677909241,0.00887648579112252,0.0009989994994993746,2000,0,0.0,0,2.5759705479799777e-10,122.48333740234375,newly computed
