combo,se,sp,uhr,eff,n,dataset_id,beta_py,se_py,beta_r,se_r,abs_beta_diff,abs_se_diff
9,0.9,0.9,0.5,0.85,5000,13,-0.2830593003204015,0.0409365444037473,-0.283059300320402,0.0407632237807452,4.996003610813204e-16,0.00017332062300209894
9,0.9,0.9,0.5,0.85,5000,14,-0.279554470082698,0.0409625433599151,-0.279554470082698,0.0409192601359434,0.0,4.3283223971700424e-05
9,0.9,0.9,0.5,0.85,5000,15,-0.1979533117013978,0.0409507801541539,-0.197953311701398,0.0410655697647102,1.942890293094024e-16,0.00011478961055630399
9,0.9,0.9,0.5,0.85,5000,16,-0.2669784116952224,0.0409588805201257,-0.266977937955754,0.0407902126781424,4.737394684317664e-07,0.00016866784198329987
9,0.9,0.9,0.5,0.85,5000,17,-0.1823376307210208,0.0406437428137783,-0.182337630721021,0.040669581108795,1.942890293094024e-16,2.583829501669882e-05
9,0.9,0.9,0.5,0.85,5000,18,-0.1944310248862338,0.0409162907236439,-0.194431024886234,0.0406591088228143,2.220446049250313e-16,0.0002571819008296006
9,0.9,0.9,0.5,0.85,5000,19,-0.1520880081002483,0.0412358376445755,-0.15208842728791,0.0413423117039609,4.191876616932433e-07,0.00010647405938540161
9,0.9,0.9,0.5,0.85,5000,20,-0.2622002694634396,0.0405991347698137,-0.262200269463439,0.0406007052354687,6.106226635438361e-16,1.5704656550000196e-06
9,0.9,0.9,0.5,0.85,5000,21,-0.2806948107796296,0.0405815629147756,-0.28069481077963,0.040613831101548,3.885780586188048e-16,3.226818677240506e-05
9,0.9,0.9,0.5,0.85,5000,22,-0.2674400600411575,0.0405901519445399,-0.267440060041157,0.0403031455653753,4.996003610813204e-16,0.00028700637916460187
9,0.9,0.9,0.5,0.85,5000,23,-0.2206042946566782,0.0411113670974767,-0.220604160376388,0.0409452489396949,1.3428029019268983e-07,0.00016611815778180133
9,0.9,0.9,0.5,0.85,5000,24,-0.2635709528494709,0.0405235886097848,-0.263570952849471,0.0407713917540496,1.1102230246251565e-16,0.0002478031442647993
9,0.9,0.9,0.5,0.85,5000,25,-0.148975644346405,0.0400673944236113,-0.148975644346405,0.0400350782888967,0.0,3.23161347145981e-05
9,0.9,0.9,0.5,0.85,5000,26,-0.1866475864561753,0.0408301571749016,-0.186647586456176,0.0408857099326785,6.938893903907228e-16,5.5552757776904105e-05
9,0.9,0.9,0.5,0.85,5000,27,-0.2260798419837921,0.041279617315677,-0.226080513875527,0.0411711940133267,6.718917348880193e-07,0.0001084233023503009
9,0.9,0.9,0.5,0.85,5000,28,-0.2590764987877888,0.0413400730312167,-0.259076498787789,0.0414610257774757,1.6653345369377348e-16,0.0001209527462589996
9,0.9,0.9,0.5,0.85,5000,29,-0.2075396634925763,0.0406108838111247,-0.207539845821722,0.0406638579598713,1.8232914569815684e-07,5.297414874659567e-05
9,0.9,0.9,0.5,0.85,5000,30,-0.1784276321062179,0.0404682302201866,-0.178427632106218,0.0407877333047038,1.1102230246251565e-16,0.00031950308451719756
9,0.9,0.9,0.5,0.85,5000,31,-0.2406213942286672,0.0408933003495203,-0.24062193976864,0.0412220174382369,5.455399727793964e-07,0.0003287170887165958
9,0.9,0.9,0.5,0.85,5000,32,-0.2596193197163756,0.0408310544211285,-0.259619319716376,0.0409664778288418,3.885780586188048e-16,0.0001354234077133032
9,0.9,0.9,0.5,0.85,5000,33,-0.2158489698715539,0.0413252346269585,-0.215848969871554,0.0413504878083047,1.1102230246251565e-16,2.525318134619786e-05
9,0.9,0.9,0.5,0.85,5000,34,-0.1875347374688341,0.0406738725328551,-0.187534736285864,0.0405246804752764,1.1829700830023882e-09,0.00014919205757869813
9,0.9,0.9,0.5,0.85,5000,35,-0.2215004722892657,0.0407161254418489,-0.221500472289266,0.0404747445570136,3.0531133177191805e-16,0.00024138088483529468
9,0.9,0.9,0.5,0.85,5000,36,-0.2340824789749591,0.040679209443509,-0.234082478974959,0.0406996931778271,8.326672684688674e-17,2.0483734318101077e-05
9,0.9,0.9,0.5,0.85,5000,37,-0.2910979250862971,0.0410314275708585,-0.291097925086297,0.0411154805173847,1.1102230246251565e-16,8.405294652619882e-05
9,0.9,0.9,0.5,0.85,5000,38,-0.2774309771109345,0.0409996120014936,-0.277430977110935,0.041070289025342,4.996003610813204e-16,7.067702384840058e-05
9,0.9,0.9,0.5,0.85,5000,39,-0.2024877426408216,0.0407555201830746,-0.202488242354562,0.0404882618595645,4.997137404150198e-07,0.00026725832351010004
9,0.9,0.9,0.5,0.85,5000,40,-0.2650608632097064,0.0407636600360653,-0.265061205763253,0.0409326798761085,3.4255354658396797e-07,0.00016901984004320109
9,0.9,0.9,0.5,0.85,5000,41,-0.2406665569569108,0.0397498910998416,-0.240666310612751,0.0397549412240049,2.4634415979329916e-07,5.050124163297198e-06
9,0.9,0.9,0.5,0.85,5000,42,-0.1771739241873411,0.0403894283161814,-0.177173924187341,0.0406656482648299,1.1102230246251565e-16,0.0002762199486485012
9,0.9,0.9,0.5,0.85,5000,43,-0.2545569099214883,0.0405801248774872,-0.254556909921488,0.040636321239685,2.7755575615628914e-16,5.6196362197794e-05
9,0.9,0.9,0.5,0.85,5000,44,-0.1470848337962114,0.0407232541904346,-0.147084833796212,0.040628366883548,6.106226635438361e-16,9.48873068866013e-05
9,0.9,0.9,0.5,0.85,5000,45,-0.2385705540476428,0.0412162277509022,-0.238570554073029,0.0411156075823042,2.5386193147625136e-11,0.00010062016859799933
9,0.9,0.9,0.5,0.85,5000,46,-0.1994970151597468,0.0410206630821219,-0.199497015159747,0.0408303645857045,1.942890293094024e-16,0.0001902984964173987
9,0.9,0.9,0.5,0.85,5000,47,-0.2746055660137411,0.0401338701507388,-0.274605566013741,0.04021880145813,1.1102230246251565e-16,8.49313073911992e-05
9,0.9,0.9,0.5,0.85,5000,48,-0.2465391134707104,0.0413622333826065,-0.24653911347071,0.0414199543976186,3.885780586188048e-16,5.7721015012099364e-05
9,0.9,0.9,0.5,0.85,5000,49,-0.262939690236889,0.0409529654171636,-0.262939690236889,0.0409243347052415,0.0,2.863071192210631e-05
10,0.9,0.9,0.33,1.0,5000,0,-0.1658603730101406,0.0404844001275691,-0.165860373010141,0.0403441707999285,4.163336342344337e-16,0.0001402293276406008
10,0.9,0.9,0.33,1.0,5000,1,-0.1855270918411402,0.0404171722012506,-0.18552709184114,0.0402633141695686,1.942890293094024e-16,0.00015385803168200402
