scenario_id,family,module,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,estimand,method,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings
105,low_crc,primary,low_crc,1.0,1.0,0.5,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,2201598800,0.7660313387399484,0.7685230933746954,0.901375583827439,-0.1022904489548192,-9.8786660305943,0.0542024207694986,0.0537131418393554,0.1157573730413904,0.511,0.522,0.2105438073539861,0.9295,0.8519790888435705,0.0012120029738564,0.0111776339177842,0.0057240610583745,2000,0,0.0,0
106,low_crc,primary,low_crc,1.0,1.0,0.33,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3924282224,0.8630440240551447,0.8670809834662613,0.8623700232124518,-0.147781194650779,-13.69559759448553,0.0524711095420777,0.0530174369614974,0.1568155675317978,0.196,0.2175,0.2078177967213548,0.998,1.000938203160235,0.0011732896779092,0.0088764857911225,0.0009989994994993,2000,0,0.0,0
107,low_crc,primary,low_crc,1.0,1.0,0.33,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,646947979,0.7334816237009837,0.737335433771457,0.8626384604697899,-0.1475688763469703,-13.708044270472504,0.0537138008607022,0.0556449228550977,0.1570359929538739,0.2295,0.246,0.218046409655286,0.998,0.8500028028480555,0.0012010771005441,0.0094029184299344,0.0009989994994993,2000,0,0.0,0
108,low_crc,primary,low_crc,0.9,0.9,1.0,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,893802542,0.9997076338953692,1.0003676934745451,1.00033079322509,-0.0002865289640564,-0.0292366104630792,0.0475880861197713,0.0467311857977704,0.0475770504173992,0.9495,0.946,0.1831306308790831,0.026,0.9998471127621108,0.0010641019548292,0.0048964145045124,0.003558370413546,2000,0,0.0,0
109,low_crc,primary,low_crc,0.9,0.9,1.0,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,362952551,0.8805685780505164,0.8792966382679854,0.999663729694162,0.0359199582484694,3.5963033000607507,0.0497665021419006,0.0486635409030782,0.061365379357125,0.878,0.8815,0.1907252623656376,0.027,0.8819116995631846,0.0011128128179167,0.0073183331435512,0.0036242930345103,2000,0,0.0,0
110,low_crc,primary,low_crc,0.9,0.9,0.5,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,1431445839,0.923386739769616,0.9252743261615493,0.9239435081185794,-0.0802027102477156,-7.661326023038395,0.0486792483644466,0.0506290728472162,0.0938134271722116,0.658,0.6575,0.1984147694051146,0.7535,0.998231945364302,0.0010885010843649,0.0106074502119972,0.0096368498483685,2000,0,0.0,0
111,low_crc,primary,low_crc,0.9,0.9,0.5,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,4181054558,0.8130017932075854,0.8125655754606618,0.9237578256404324,-0.0461925642750773,-4.352730210872307,0.0519893396433418,0.0527835626685852,0.0695362710039849,0.863,0.86,0.2068700397636339,0.752,0.879610781505236,0.0011625169754783,0.0076886604815143,0.0096565004012841,2000,0,0.0,0
112,low_crc,primary,low_crc,0.9,0.9,0.33,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,656974555,0.8915284415565086,0.8936079136702815,0.8918605502502295,-0.116205886432705,-10.847155844349142,0.0545284419422461,0.0523377511193879,0.1283575955943758,0.397,0.4045,0.2052081042083665,0.953,0.998248257825296,0.0012192930289001,0.010940543862167,0.0047323884033329,2000,0,0.0,0
113,low_crc,primary,low_crc,0.9,0.9,0.33,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,2811051671,0.7844444960564074,0.7851124047813658,0.8900520049828302,-0.0807270299095631,-7.712412228657947,0.0543743859665612,0.0546038259368377,0.0973239380642576,0.7005,0.694,0.2139031389427569,0.9595,0.8813748552710072,0.0012158482325604,0.0102420640009716,0.0044079331891488,2000,0,0.0,0
114,low_crc,primary,low_crc,0.75,0.85,1.0,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,2910272290,1.0007894525838557,1.000946837579926,1.0019932400767844,0.0005485447415023,0.0789452583855654,0.0465462334397658,0.0469888959089726,0.0465378284069947,0.9525,0.953,0.1842069150640107,0.025,0.99972291417906,0.0010408054206789,0.0047562458935593,0.0034910600109422,2000,0,0.0,0
115,low_crc,primary,low_crc,0.75,0.85,1.0,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,1899656472,0.9088954898965892,0.9072779682783956,1.0000366789880175,0.0669668521322691,6.9288811643046015,0.0482310951459367,0.0490179583393032,0.082520510809205,0.7345,0.747,0.1921104030373103,0.0305,0.908949782159676,0.0010784800737557,0.0098744556812008,0.0038451105315712,2000,0,0.0,0
116,low_crc,primary,low_crc,0.75,0.85,0.5,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,1284729337,0.941745232869206,0.942486742684598,0.9417497847641148,-0.0600441350547602,-5.825476713079403,0.0509384918522481,0.0509569110898601,0.0787320185291838,0.778,0.779,0.199655970345354,0.5055,1.001422714329126,0.0011390193045294,0.0092929005159853,0.011179663456473,2000,0,0.0,0
117,low_crc,primary,low_crc,0.75,0.85,0.5,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,4038332883,0.8571254135216453,0.8556698153726108,0.9411226615983626,0.0078194693773534,0.8382839437229773,0.054195867403815,0.0531324914625813,0.0547436530473939,0.9425,0.942,0.208278504160593,0.5185,0.9104667706898244,0.0012118564361449,0.0052054658773254,0.0111726843238319,2000,0,0.0,0
118,low_crc,primary,low_crc,0.75,0.85,0.33,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3840724176,0.9175404499959572,0.918865053342778,0.9154394546691108,-0.0872760079808689,-8.245955000404281,0.0518860316992457,0.0527028988868523,0.1015279063825758,0.6335,0.6335,0.206453864013415,0.8085,1.0008697903404429,0.0011602069396222,0.0107744547425844,0.0087985154997874,2000,0,0.0,0
119,low_crc,primary,low_crc,0.75,0.85,0.33,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,568380708,0.8301788324454771,0.8289818706280297,0.9167669116557392,-0.0224531747095164,-2.3319020652379883,0.0555661324145108,0.0549801537841466,0.0599182470413418,0.93,0.9295,0.2154429519028285,0.7895,0.9072072006475576,0.001242496493256,0.0057052607302383,0.0091156390340995,2000,0,0.0,0
202,low_bladder,primary,low_bladder,1.0,1.0,1.0,1.0,50000,2.6917,2.4908,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3720922161,1.000548161098971,1.0004117904380152,1.0005256699426262,0.0004069428185637,0.0548161098971045,0.024011662165723,0.0241499896596159,0.0240091074898342,0.957,0.954,0.094677206253227,0.024,0.9989935450922895,0.0005369170885531,0.0045360224867167,0.0034222799417931,2000,0,0.0,0
203,low_bladder,primary,low_bladder,1.0,1.0,1.0,0.85,50000,2.6917,2.4908,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3349977807,0.8487539065039849,0.8487053853996704,1.0003367451586984,-0.0012186856942218,-0.1465992348253084,0.0252014550240643,0.0251777941619048,0.0252246104723854,0.948,0.9465,0.0986864810346794,0.0195,0.8481649020743571,0.0005635216656571,0.0049646752159632,0.0030919047527373,2000,0,0.0,0
204,low_bladder,primary,low_bladder,1.0,1.0,0.5,1.0,50000,2.6917,2.4908,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3714012747,0.8999406853575028,0.90310695143049,0.8985832711182896,-0.1055397216003942,-10.005931464249718,0.0266401621110731,0.0259841061937925,0.1088484093759496,0.0235,0.026,0.1018463782937345,0.993,1.0009680635720888,0.0005956921341197,0.0033873108803297,0.0018642692938521,2000,0,0.0,0
205,low_bladder,primary,low_bladder,1.0,1.0,0.5,0.85,50000,2.6917,2.4908,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,4176465823,0.7647122855385289,0.7679538570914417,0.9009220813843896,-0.105434364986485,-10.03384876017307,0.0268588859528027,0.0271558381626847,0.108800020105015,0.028,0.0315,0.1064500605050625,0.994,0.8490516941898506,0.0006005829479038,0.0036889022757454,0.0017268468374467,2000,0,0.0,0
206,low_bladder,primary,low_bladder,1.0,1.0,0.33,1.0,50000,2.6917,2.4908,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,2485604009,0.8551749619476072,0.8597028480241306,0.8552301076240697,-0.1563050852514641,-14.482503805239276,0.0268261955241367,0.0269061790366846,0.1585892954123434,0.0,0.0,0.1054857881113579,1.0,1.0010774999906746,0.0005998519676967,0.0,0.0,2000,0,0.0,0
207,low_bladder,primary,low_bladder,1.0,1.0,0.33,0.85,50000,2.6917,2.4908,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,2162306441,0.729331831025439,0.733080027797832,0.8576432321979868,-0.153345873885543,-14.196255173477764,0.02717447395384,0.0281326651919603,0.1557338750765916,0.0,0.0,0.110280957688465,1.0,0.8502672378341327,0.0006076397101358,0.0,0.0,2000,0,0.0,0
208,low_bladder,primary,low_bladder,0.9,0.9,1.0,1.0,50000,2.6917,2.4908,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3675167189,1.0003977380118614,1.0003550787836808,0.9995236220541148,0.0001641892488768,0.0397738011861381,0.0231910072573254,0.023929440313355,0.0231857901377107,0.9605,0.9625,0.0938113199270514,0.0235,1.000105849290169,0.0005185666869407,0.0043554419982362,0.0033873108803297,2000,0,0.0,0
