scenario_id,module,family,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,repetitions,bootstrap_B,tag,cut_years,m1,m2,estimator_or_operation,final_evidence_status,source_artifact
111,primary Cox,low_crc,low_crc,0.9,0.9,0.5,0.85,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
112,primary Cox,low_crc,low_crc,0.9,0.9,0.33,1.0,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
113,primary Cox,low_crc,low_crc,0.9,0.9,0.33,0.85,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
114,primary Cox,low_crc,low_crc,0.75,0.85,1.0,1.0,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
115,primary Cox,low_crc,low_crc,0.75,0.85,1.0,0.85,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
116,primary Cox,low_crc,low_crc,0.75,0.85,0.5,1.0,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
117,primary Cox,low_crc,low_crc,0.75,0.85,0.5,0.85,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
118,primary Cox,low_crc,low_crc,0.75,0.85,0.33,1.0,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
119,primary Cox,low_crc,low_crc,0.75,0.85,0.33,0.85,50000,4.2074,3.1726,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
202,primary Cox,low_bladder,low_bladder,1.0,1.0,1.0,1.0,50000,2.6917,2.4908,2000,,proportional hazards,,,,overlap-weighted cause-specific Cox; full individual score-residual sandwich,strict rerun completed,.\analysis\strict_cox_rerun\strict_primary_summary_72_rows.csv
