Se,Sp,uhr,B
0.6812221695104296,0.8986691175565216,0.5462624497234012,-0.0002687220557903
0.9092018429180008,0.9269796619064912,0.2173968094649443,-0.1231061103727859
0.8848704966667669,0.9240459811190844,0.3252720420404537,-0.092592350159781
0.8462098807877961,0.8970144652062125,0.3862522118113914,-0.0517634492109664
0.8429895850802682,0.9375013150272616,0.1865051024011833,-0.1036743820919125
0.8501986265987718,0.8462810390581665,0.5490805614476691,-0.0227983398966429
0.8680640808702764,0.9181430797206837,0.3257661326385456,-0.093514023135729
0.8770636426522103,0.9564169701569688,0.4592543522316785,-0.0714553789624629
0.8035461638963487,0.8567882746507474,0.4248496291431833,-0.0195933099517811
0.8933588221998318,0.9321479848978098,0.3815088716609867,-0.0911722969762265
0.928905740547476,0.867860363922632,0.3026580091405775,-0.0965680116577485
0.8602060650427676,0.8583828174787054,0.3671504175780692,-0.0600819923265944
0.8950092558517503,0.8733762207377004,0.4123258214582266,-0.0623088886976299
0.8947831484992474,0.9037942197015656,0.4816016863953219,-0.0447863310954069
0.8880826723279578,0.9037960555337065,0.3829676550382813,-0.0632363934867827
0.8346201430342851,0.90998213524112,0.3639008764186154,-0.0692677957479707
0.9279881758251096,0.8841862229650113,0.3786681247279914,-0.0659849541041256
0.7963526840935873,0.8932945148156846,0.5333297624984439,-0.0127491975677792
0.7956547193437083,0.9229141543913004,0.432396005456968,-0.0553377372936743
0.8607712062753274,0.8816532885452808,0.3362484475713705,-0.0782052779904872
0.8734228229546234,0.8978493221559131,0.2777586994508036,-0.0877022308532292
0.8904340289921593,0.9022091019317736,0.3625550908157705,-0.0846110403169152
0.8187840145933412,0.897964774917344,0.3125497119364234,-0.0523916971376309
0.8634023260915691,0.881506788416366,0.3616086452763845,-0.0737734504328334
0.8827206604983173,0.9104879302265292,0.5389487316866193,-0.0422552538708744
0.8799325552079115,0.8558147506674921,0.4724819693039132,-0.0435827842204283
0.7290005811550624,0.9072551584585664,0.4262480803974701,-0.0370058022419828
0.8815019422964334,0.910420589128202,0.443802031794149,-0.0690942164166725
0.7571158050633982,0.8725605074659727,0.5753565624955557,0.0031614803074559
0.7570997980772115,0.9221181779970928,0.2900612577994633,-0.0766965116622145
0.8876723915892505,0.9136295114215846,0.4478907034459836,-0.0618492408063965
0.9441526605493142,0.9184588909310004,0.383078522708315,-0.0961924871177523
0.7813375277976643,0.8617603356030181,0.4175137327307864,-0.0326596672834361
0.8262857127866405,0.9347897137041802,0.4107018997617566,-0.0677789074623365
0.7626515560578788,0.8913909344328906,0.3718580792295081,-0.0375288228058126
0.8516595237604645,0.9504592126930028,0.4574970186543746,-0.0643985612774923
0.8790509380224008,0.9286375983776928,0.1880209492349682,-0.1355912875725808
0.8040981011325052,0.9160296819604412,0.4322547197922221,-0.0525078922629097
0.8305819092733715,0.9390907041278008,0.4711169836860867,-0.0528136052439893
0.8774822860684164,0.8607635225683969,0.3083396819952667,-0.0725519917379545
0.8683871091580204,0.8871693523828099,0.3061433503873483,-0.0775850440403483
0.8406692450220057,0.8876036746991195,0.593663753205635,-0.0226907844039704
0.9190032874733108,0.8950171247116862,0.3141570067287705,-0.0897362915326824
0.8035803484435808,0.801554185515954,0.3658661775936999,-0.018048541195455
0.7535500005381323,0.9074437787357952,0.3265746163910411,-0.0473043133943269
0.8016219484527429,0.8776801267962794,0.3425969168050368,-0.0545702283656481
0.8423527764312841,0.8239385898826368,0.3366818241525618,-0.0411609852653457
0.7838433091054802,0.8549592681320932,0.1932965187712347,-0.0678842218358962
0.8012674734788764,0.9416639755378132,0.6405097588154018,-0.018962900992336
0.8193892956758567,0.919123138763236,0.3311238072602616,-0.0695520042628602
