scenario_id,family,module,anchor,se,sp,uhr,eff,n,eta_c0,eta_o0,estimand,method,planned_reps,master_seed,scenario_seed,median_HR_c,median_HR_naive,median_HR_o,bias_logHR_c,median_HR_percent_error_c,empirical_SE,avg_model_SE,rmse_c,coverage_c,coverage_naive,median_interval_width_log,directional_signal_rate,median_cross_ratio,mcse_bias,mcse_coverage,mcse_signal,successful,failed,failure_rate,convergence_warnings
34,main_hi,primary,,0.75,0.85,0.33,1.0,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,2069790541,0.9033612156025153,0.9045853583080018,0.9032306245963575,-0.10165426794049683,-9.663878439748474,0.01267972111873847,0.01277930452602466,0.10244185357119312,0.0,0.0,0.05009238649985883,1.0,0.9998351270855061,0.00017931833573228497,0.0,0.0,5000,0,0.0,0
35,main_hi,primary,,0.75,0.85,0.33,0.85,5000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3567053798,0.8279397905273462,0.8275007959142444,0.9108988562759817,-0.026229536830342737,-2.5953187614886764,0.04103563820883759,0.04138555025935054,0.04869882360817638,0.9066,0.9048,0.1622127581053141,0.5286,0.909142815511978,0.0005803315609557371,0.004115250660652399,0.007059490633183105,5000,0,0.0,0
36,main_hi,primary,,0.75,0.85,0.33,0.85,50000,-0.8,-0.5,logHR_cancer_overlap,overlap_weighted_cox,5000,20260817,3333225663,0.828420935587658,0.8279790116296757,0.9114507182193814,-0.02596586244164531,-2.5387134602755332,0.012998336678021546,0.013072908683351425,0.029037027695381773,0.4974,0.4772,0.051244990367622666,1.0,0.908703966234194,0.00018382424018349714,0.007070972210382389,0.0,5000,0,0.0,0
102,low_crc,primary,low_crc,1.0,1.0,1.0,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,1410448036,0.9998391623893423,1.0000679546212345,0.9990486604570912,-0.0007407873343805521,-0.016083761065766033,0.04858649935884717,0.047154259029204754,0.04857999960747285,0.9445,0.942,0.1848001617855916,0.0265,1.0014819934564136,0.001086427153551322,0.005119558086397692,0.0035915003828483716,2000,0,0.0,0
103,low_crc,primary,low_crc,1.0,1.0,1.0,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3444109857,0.8508326117233086,0.8499720973974285,0.9999892656025962,0.0005782599279698039,0.09795432038924921,0.049397246604008446,0.049374264144980945,0.04938828112635113,0.9495,0.952,0.19346586996355208,0.028,0.8509027939168645,0.0011045560130788351,0.0048964145045124596,0.0036889022757454555,2000,0,0.0,0
104,low_crc,primary,low_crc,1.0,1.0,0.5,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3195999652,0.9056665940183164,0.9085648739110066,0.9017135514067948,-0.10109600662342146,-9.43334059816836,0.05050793581771202,0.05122326715791991,0.11300521496806555,0.5085,0.5235,0.2007399973890897,0.9295,1.0035753879413412,0.001129391778916005,0.01117872421164419,0.005724061058374553,2000,0,0.0,0
105,low_crc,primary,low_crc,1.0,1.0,0.5,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,2201598800,0.7660313387399484,0.7685230933746954,0.901375583827439,-0.10229044895481929,-9.8786660305943,0.0542024207694986,0.05371314183935544,0.11575737304139044,0.511,0.522,0.21054380735398617,0.9295,0.8519790888435705,0.0012120029738564532,0.01117763391778421,0.005724061058374553,2000,0,0.0,0
106,low_crc,primary,low_crc,1.0,1.0,0.33,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,3924282224,0.8630440240551447,0.8670809834662613,0.8623700232124518,-0.14778119465077902,-13.69559759448553,0.05247110954207771,0.05301743696149742,0.15681556753179787,0.196,0.2175,0.2078177967213548,0.998,1.000938203160235,0.0011732896779092362,0.00887648579112252,0.0009989994994993746,2000,0,0.0,0
107,low_crc,primary,low_crc,1.0,1.0,0.33,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,646947979,0.7334816237009837,0.737335433771457,0.8626384604697899,-0.14756887634697033,-13.708044270472504,0.053713800860702286,0.055644922855097735,0.15703599295387397,0.2295,0.246,0.21804640965528604,0.998,0.8500028028480555,0.0012010771005441703,0.0094029184299344,0.0009989994994993746,2000,0,0.0,0
108,low_crc,primary,low_crc,0.9,0.9,1.0,1.0,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,893802542,0.9997076338953692,1.0003676934745451,1.00033079322509,-0.00028652896405646257,-0.029236610463079238,0.047588086119771396,0.04673118579777043,0.04757705041739926,0.9495,0.946,0.18313063087908316,0.026,0.9998471127621109,0.0010641019548292302,0.0048964145045124596,0.003558370413546066,2000,0,0.0,0
109,low_crc,primary,low_crc,0.9,0.9,1.0,0.85,50000,4.2074,3.1726,logHR_cancer_overlap,overlap_weighted_cox,2000,20260817,362952551,0.8805685780505164,0.8792966382679854,0.999663729694162,0.035919958248469455,3.5963033000607507,0.04976650214190064,0.04866354090307826,0.06136537935712504,0.878,0.8815,0.19072526236563764,0.027,0.8819116995631846,0.0011128128179167872,0.007318333143551201,0.0036242930345103167,2000,0,0.0,0
